date,location,crime_type,details
2026-02-03,"Avenida Heitor Penteado, 1685 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-14,"Rua Maria Monteiro, 759 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-01,"Rua Coronel Quirino, 267 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-18,"Rua Maria Monteiro, 360 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-22,"Avenida Albino José Barbosa de Oliveira, 3343 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-10,"Avenida Heitor Penteado, 2170 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-11,"Avenida Albino José Barbosa de Oliveira, 824 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-06,"Avenida Albino José Barbosa de Oliveira, 2709 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-02,"Rua Maria Monteiro, 1254 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-22,"Rua Coronel Quirino, 1742 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-07,"Avenida Heitor Penteado, 1495 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-09,"Avenida Albino José Barbosa de Oliveira, 2983 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-03,"Avenida Heitor Penteado, 2250 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-08,"Rua Coronel Quirino, 1612 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-08,"Rua Maria Monteiro, 488 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-13,"Avenida Heitor Penteado, 1802 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-15,"Rua Maria Monteiro, 936 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-21,"Avenida Heitor Penteado, 857 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-23,"Rua Maria Monteiro, 362 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-12,"Avenida Heitor Penteado, 2687 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-07,"Avenida Heitor Penteado, 679 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-18,"Rua Coronel Quirino, 1619 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-06,"Rua Coronel Quirino, 536 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-14,"Rua Maria Monteiro, 703 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-16,"Avenida Albino José Barbosa de Oliveira, 1848 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-20,"Avenida Albino José Barbosa de Oliveira, 2067 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-20,"Avenida Heitor Penteado, 1592 - Taquaral",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-23,"Rua Maria Monteiro, 114 - Cambuí",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
2026-02-19,"Avenida Albino José Barbosa de Oliveira, 3005 - Barão Geraldo",Outros,Ocorrência comum registrada pela patrulha de rotina sem elementos de conexão com o caso principal.
