owner_id,license_plate,brand,color
102661,FEE44B89,Toyota,Vermelho
101162,BCA18B89,Chevrolet,Azul Claro
108585,CEA78B89,Honda,Azul Claro
107444,CCE73B89,VW,Vermelho
100139,CEA83B89,Fiat,Prata
109739,EBF23B89,Chevrolet,Azul Claro
107236,FFA55B89,Chevrolet,Branco
106925,CBB93B89,Toyota,Azul Claro
108306,BBD89B89,Chevrolet,Prata
107899,CEB23B89,VW,Azul Claro
106201,CBF75B89,Honda,Vermelho
105485,ECE25B89,VW,Vermelho
104437,DFA90B89,Fiat,Vermelho
107397,BFA83B89,Fiat,Preto
105287,DFE17B89,Fiat,Vermelho
102129,CBE64B89,Toyota,Preto
103366,DCB34B89,Toyota,Preto
101870,CCE33B89,Honda,Vermelho
106069,FFE98B89,VW,Vermelho
108620,CDB63B89,Toyota,Branco
103948,CAE21B89,Chevrolet,Vermelho
108731,ECE49B89,VW,Branco
108586,BCC70B89,Fiat,Vermelho
106130,CBB77B89,Toyota,Preto
105185,BAF52B89,Chevrolet,Preto
103230,DBA27B89,VW,Branco
106443,CAC92B89,Honda,Azul Claro
104148,FDD44B89,Toyota,Preto
100351,FDC65B89,Toyota,Prata
109852,ABB12B89,Chevrolet,Prata
105639,ABD85B89,Fiat,Azul Claro
101453,CBB43B89,Toyota,Preto
105656,CFF25B89,Fiat,Preto
102953,FAE49B89,VW,Preto
109056,CCB97B89,Fiat,Prata
107255,EAF77B89,VW,Preto
103001,EFE91B89,Chevrolet,Branco
108097,BEA98B89,Chevrolet,Prata
102313,FFC58B89,Toyota,Branco
107217,BEC74B89,Toyota,Azul Claro
109417,DDD50B89,Fiat,Prata
100140,CEB67B89,Toyota,Prata
106301,BDF33B89,VW,Branco
106689,CEC19B89,Chevrolet,Azul Claro
102270,EDD51B89,Chevrolet,Preto
104828,EFC57B89,VW,Branco
101456,CCD91B89,Toyota,Preto
109953,AAD34B89,Honda,Vermelho
105915,FCD33B89,VW,Azul Claro
105431,FBC41B89,Toyota,Branco
101984,AAB38B89,Chevrolet,Vermelho
101347,BBC67B89,Fiat,Vermelho
102589,CAC10B89,Toyota,Vermelho
104043,CBF32B89,Fiat,Preto
100980,FCD50B89,VW,Branco
104875,EFF45B89,Toyota,Azul Claro
102385,FCB95B89,Chevrolet,Prata
106259,BEE45B89,Honda,Branco
101163,BFA61B89,Chevrolet,Azul Claro
109011,EAB36B89,Chevrolet,Prata
102305,EEA16B89,VW,Vermelho
101322,FAF56B89,Fiat,Azul Claro
105211,DBF80B89,Honda,Preto
103208,FAE20B89,VW,Azul Claro
101576,FAA27B89,Chevrolet,Branco
100460,EDF98B89,VW,Branco
102805,ACC41B89,Honda,Azul Claro
106215,BFF28B89,VW,Branco
105201,FAC46B89,Honda,Azul Claro
106323,ADE92B89,Honda,Preto
109350,DFB82B89,Fiat,Vermelho
106914,DAA20B89,Toyota,Vermelho
105274,EFF61B89,Chevrolet,Azul Claro
109997,CFC22B89,Fiat,Azul Claro
100635,BDC27B89,Honda,Azul Claro
100859,DFC47B89,Fiat,Azul Claro
101001,ABC88B89,Honda,Vermelho
104523,CCB70B89,Chevrolet,Preto
101974,BEF80B89,VW,Vermelho
105605,AFB99B89,VW,Azul Claro
108132,BFB52B89,Toyota,Prata
106675,EEA57B89,Honda,Vermelho
106459,ADA42B89,VW,Prata
105946,DAC59B89,Chevrolet,Azul Claro
104058,AEC25B89,Honda,Vermelho
102086,ECD19B89,Fiat,Branco
102565,FBA23B89,Honda,Azul Claro
101640,ECF66B89,Toyota,Azul Claro
105506,DFC36B89,Fiat,Branco
108335,FEF74B89,Toyota,Preto
104837,FEA55B89,Honda,Azul Claro
108853,AEB24B89,Fiat,Vermelho
101027,BCC83B89,Toyota,Prata
101619,BDF24B89,VW,Preto
103436,DCE83B89,Honda,Vermelho
106135,BCA23B89,Toyota,Azul Claro
107722,CDC89B89,Chevrolet,Azul Claro
100424,BEE80B89,VW,Preto
103840,BBE45B89,VW,Azul Claro
107934,BCA21B89,Fiat,Preto
109757,ECA62B89,Toyota,Azul Claro
103686,AAE38B89,Fiat,Preto
109849,CCA66B89,VW,Vermelho
100249,ECB91B89,Honda,Branco
105015,DFB28B89,VW,Vermelho
101869,DBA99B89,Toyota,Azul Claro
108250,BEA21B89,Honda,Preto
105866,FEA87B89,VW,Azul Claro
105034,FBD83B89,Honda,Preto
107930,EFB85B89,Fiat,Vermelho
106770,CAC41B89,Chevrolet,Branco
102878,FDD24B89,VW,Azul Claro
109529,CDB69B89,Toyota,Vermelho
105797,BDC36B89,Honda,Vermelho
103871,DEB21B89,Chevrolet,Azul Claro
101966,BDB29B89,VW,Prata
106413,BAC95B89,VW,Azul Claro
105512,DFB92B89,Fiat,Prata
109397,BAC72B89,VW,Azul Claro
106490,ADF37B89,VW,Prata
101730,AAC27B89,VW,Vermelho
102119,CBA73B89,VW,Prata
107648,BBB83B89,VW,Preto
100876,DEB83B89,VW,Prata
106949,CBF59B89,VW,Prata
